x (L/E),P_ee
23.280900766323953, 0.5888611366419622
28.64029740523732, 0.6407144565168481
30.983966680531456, 0.6890909818849741
32.84513709349881, 0.8684270962383196
34.53722623015442, 0.724875514549707
36.23543018055191, 0.7378707622201138
38.04156726984233, 0.5321368412302393
39.9495226842838, 0.6118063519002492
42.03878900252083, 0.5860670057514067
44.52708029915918, 0.4740743414930565
47.33305619873447, 0.5199044176619553
50.46069800652757, 0.29587825525583555
53.863220721064415, 0.5214278842530014
57.42870989817116, 0.5364116469952038
61.099998705709844, 0.5586225616104001
65.18069432231368, 0.6190577086422524
69.90685526381418, 0.6293211440489481
76.02576518025901, 0.6197063300555472
83.73494590820845, 0.7067918838272018
96.90136029494131, 0.271725436772022
